,diseases,Symptom_labels
0,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, back pain"
1,abdominal aortic aneurysm,"shortness of breath, palpitations, burning abdominal pain"
2,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
3,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
4,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, back pain, burning abdominal pain"
5,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
6,abdominal aortic aneurysm,"shortness of breath, sharp abdominal pain, burning abdominal pain"
7,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
8,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
9,abdominal aortic aneurysm,"shortness of breath, arm swelling, back pain, burning abdominal pain"
10,abdominal aortic aneurysm,"shortness of breath, arm swelling, burning abdominal pain"
11,abdominal aortic aneurysm,"palpitations, sharp abdominal pain, arm swelling"
12,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
13,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
14,abdominal aortic aneurysm,"palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
15,abdominal aortic aneurysm,"shortness of breath, sharp abdominal pain, arm swelling, burning abdominal pain"
16,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
17,abdominal aortic aneurysm,"shortness of breath, sharp abdominal pain, burning abdominal pain"
18,abdominal aortic aneurysm,"shortness of breath, arm swelling, back pain"
19,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
20,abdominal aortic aneurysm,"shortness of breath, palpitations, burning abdominal pain"
21,abdominal aortic aneurysm,"palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
22,abdominal aortic aneurysm,"shortness of breath, palpitations, burning abdominal pain"
23,abdominal aortic aneurysm,"shortness of breath, arm swelling, burning abdominal pain"
24,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
25,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling"
26,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, burning abdominal pain"
